,국가,대학교명,번역,분류,번역_전처리,5분류,요약
23,한국,Ajou,"아주대학교 Linc+ 사업팀은 수원시의 생태 다양 성과 환경보전을 위하여 멸종위기종인 수원청 개구리, 해오라비난초 등 잘 알려지지 않은 녹색 자원과 녹색 사업을 알리는 '2021 환경도시 수원 UCC 콘테스트'를 수원시, 경희대학교, 성균관 대학교, 단국대학교와 공동 개최했다. 해당 콘테스트는 각 참여대학 재·휴학생이 개인 혹은 팀을 이루어 참여하였으며, ‘다양한 녹색 자원을 연계·결합한 수원시만의 친환경 UCC’를 주제로 5분 내외의 영상을 제작하여 평가받는 일정으로 진행되었다. 이번 콘테스트를 통해 수 원시는 도시의 생태 다양성과 환경보전을 위한 노력을 효과적으로 알리고 하천, 산, 산책로 등 시민들을 위한 환경권을 홍보하는 효과를 거두 었다. 이에 아주대학교는 본교가 위치한 수원시의 육상 생태계 보전에 이바지하였다.",15,"아주대학교 Linc 사업팀은 수원시의 생태다양성과 환경보전을 위하여 멸종위기종인 수원청개구리, 해오라비난초등 잘 알려지지 않은 녹색자원과 녹색사업을 알리는 2021 환경도시수원UCC 콘테스트를 수원시, 경희대학교, 성균관대학교, 단국대학교와 공동개최했다. 해당 콘테스트는 각 참여 대학 재휴학생이 개인 혹은 팀을 이루어 참여하였으며, 다양한 녹색자원을 연계 결합한 수원시만의 친환경 UCC를 주제로 5분 내외의 영상을 제작하여 평가받는 일정 으로 진행되었다. 이번 콘테스트를 통해 수원시는 도시의 생태다양성과 환경보전을 위한 노력을 효과적으로 알리고 하천, 산, 산책로 등 시민들을 위한 환경권을 홍보하는 효과를 거두었다.이에 아주대학교는 본교가 위치한 수원시의 육상생태계 보전에 이바지하였다.",2, 아주대학교는 본교가 위치한 수원시의 육상생태계 보전에 이바지하였다.
40,한국,Kangwon,"화력발전소 주변지역 기후환경 영향 연구. 측정소를 통한 테이터 수집‧분석, 통합 시스템 운영 관리 연구 진행",13,"화력발전소 주변 지역 기후환경영향연구.측정소를 통한 테이터 수집 분석, 통합시스템 운영관리연구 진행",2," 통한 테이터 수집 분석, 통합시스템 운영관리연구 진행"
63,한국,Kangwon,산불에 의한 산림환경 유실 예방을 위한 심포지엄 개최,15,산불에 의한 산림환경 유실 예방을 위한 심포지엄 개최,2,산불에 의한 산림환경 유실 예방을 위한 심포지엄 개최
30,한국,Kangwon,신축 건물 빗물저류조 설치로 물 재사용 촉진,6,신축 건물 빗물 저류조 설치로 물 재 사용 촉진,2,신축 건물 빗물 저류조 설치로 물 재 사용 촉진
48,한국,Kangwon,냉방기 설정온도 조절 및 전등 소등으로 에너지 절약 실천,13,냉방기 설정 온도조절 및 전등 소등으로 에너지 절약 실천,2,냉방기 설정 온도조절 및 전등 소등으로 에너지 절약 실천
66,한국,Kangwon,논에서 발생한 염해 인과관계 연구. 논의 지속가능한 농업을 위한 염해 인과관계 규명 연구,15,논에서 발생한 염해인과 관계 연구. 논의 지속가능한 농업을 위한 염해인과 관계 규명 연구,2,논에서 발생한 염해인과 관계 연구. 논의 지속가능한 농업을 위한 염해인과 관계 규명 연구
55,한국,Kangwon,"오염원 실태조사, 수질 모니터링 실시를 통한 수질 악화 예방",14,"오염원 실태조사, 수질 모니터링 실시를 통한 수질 악화 예방",2,"오염원 실태조사, 수질 모니터링 실시를 통한 수질 악화 예방"
25,한국,Kangwon,"오염원 실태조사, 수질 모니터링 실시를 통한 수질 악화 예방",6,"오염원 실태조사, 수질 모니터링 실시를 통한 수질 악화 예방",2,"오염원 실태조사, 수질 모니터링 실시를 통한 수질 악화 예방"
49,한국,Kangwon,신에너지 및 에너지절약 교육을 통한 에너지의 중요성 인식 제고,13,신에너지 및 에너지 절약 교육을 통한 에너지의 중요성 인식 제고,2,신에너지 및 에너지 절약 교육을 통한 에너지의 중요성 인식 제고
2,한국,Seoul,"폐수 처리 절차 및 수질 관리 
∙서울대학교에서 사용한 물은 환경안전원에서 정한 <실험 폐수 및 폐기물 처리에 관한 지침(2019.5. 29)>에 따르며, 시설지원과는 농생명과학공동기기원의 협조 하에 정기적으로 수질 검사를 수행하고 있습니다. 또한 저수조와 옥내 급수관 수질 검사 업무 절차에 오염된 물이 상수도로 유입되는 것을 방지하기 위한 점검 매뉴얼이 있습니다. 그리고 서울대학교 건물에는 층마다 정수기가 설치되어 있으며 학생, 교직원, 방문자 등 누구나 무료로 이용할 수 있습니다.",6,"폐수처리 절차 및 수질관리 서울대학교에서 사용한 물은 환경안전원에서 정한 실험 폐수 및 폐기물 처리에 관한 지침 2019.5.29에 따르며, 시설지원과는 농생명과학 공동기기원의 협조하에 정기적으로 수질검사를 수행하고 있습니다. 또한 저수조와 옥내 급수관 수질검사 업무 절차에 오염된 물이 상수도로 유입되는 것을 방지하기 위한 점검 매뉴얼이 있습니다. 그리고 서울대학교 건물에는 층마다 정수기가 설치되어 있으며 학생, 교직원, 방문자 등 누구나 무료로 이용 할 수 있습니다.",2," 따르며, 시설지원과는 농생명과학 공동기기원의 협조하에 정기적으로 수질검사를 수행하고 있습니다. 또한 저수조와 옥내 급수관 수질검사 업무 절차에 오염된 물이 상수도로 유입되는 것을 방지하기 위한 점검 매뉴얼이 있습니다. 그리고 서울대학교 건물에는 층마다 정수기가 설치되어 있으며 학생, 교직원, 방문자 등 누구나 무료로 이용 할 수 있습니다."
39,한국,Kangwon,안전한 폐기물 처리를 위한 처리지침 배부,12,안전한 폐기물 처리를 위한 처리지침 배부,2,안전한 폐기물 처리를 위한 처리지침 배부
29,한국,Kangwon,물 소비 감소를 위한 수종 식재,6,물 소비 감소를 위한 수종식재,2,물 소비 감소를 위한 수종식재
46,한국,Kangwon,그린에너지연구관 준공. 에너지산업 기업 입주를 통한 에너지분야 경쟁력 강화,13,그린에너지연구관 준공.에너지산업기업 입주를 통한 에너지 분야 경쟁력 강화,2, 입주를 통한 에너지 분야 경쟁력 강화
6,한국,Seoul,"환경 보고서의 발간
∙ 서울대학교 내 에너지 소비량, 온실가스 배출 현황 및 전력 사용 특성 등을 분석하여 매년 “서울대학교 그린리포트”를
발간하여 서울대학교 내 에너지 소비량과 온실가스 배출 현황 등을 다루고 있습니다. 2018년부터는 우리 대학
전 기관 및 건물의 에너지 소비 실태와 특징을 파악하기 위한 에너지 리포트를 발간하고 있습니다. 보고서들의
디지털 파일들은 서울대학교 웹사이트에서 다운로드 받을 수 있습니다(https://isd.snu.ac.kr/isd/Report.php).",12,"환경보고서의 발간 서울대학교 내 에너지소비량, 온실가스 배출 현황 및 전력사용 특성 등을 분석하여 매년 서울대학교 그린리포트를 발간하여 서울대학교 내 에너지소비량과 온실가스 배출 현황 등을 다루고 있습니다.2018년부터는 우리 대학 전기관 및 건물의 에너지 소비 실태와 특징을 파악하기 위한 에너지 리포트를 발간하고 있습니다. 보고서들의 디지털 파일들은 서울대학교 웹사이트에서 다운로드 받을 수 있습니다 https isd.snu. ac. krisdR eport. php.",2, 우리 대학 전기관 및 건물의 에너지 소비 실태와 특징을 파악하기 위한 에너지 리포트를 발간하고 있습니다. 보고서들의 디지털 파일들은 서울대학교 웹사이트에서 다운로드 받을 수 있습니다 https isd
47,한국,Kangwon,에너지 절약 운동 및 환경정화 활동으로 그린 캠퍼스 조성,13,에너지 절약운동 및 환경정화활동으로 그린캠퍼스 조성,2,에너지 절약운동 및 환경정화활동으로 그린캠퍼스 조성
94,한국,Kyungpook,"작은 말 껍데기 보존 말 갑각은 민물 생물을 보존하는 데 매우 중요한 종입니다. 민물고기의 알을 보호하는 은신처 역할을 합니다. 작은 말 껍데기는 한국이 원산지이며 가치가 높습니다. 그들의 보존이 필요합니다. 경북대학교 생물학교육과 황의욱 교수팀이 한반도 주변에 서식하는 말 껍데기가 중국 황하 지역에서 유래했다는 사실을 새롭게 발견했다. 황 교수팀은 8개의 국내 수계(북한강, 남한강, 금강, 만경강, 영산강, 침진강, 섬진강, 낙동강)에 서식하는 86개의 말껍질과 83개의 작은 말껍질의 미토콘드리아 DNA 염기서열을 분석했다. 그리고 그들의 기원을 추적했습니다. 연구 결과 황 교수팀은 다음과 같이 예측했다.말 조개류는 고대 황색에 널리 분포되어 있었습니다.
중국에서 한반도로 흐르는 하수도 약 1억 6천만 년 전 한국의 서해가 존재하지 않았던 때 그리고 한반도의 동부와 서부는 하나의 대륙으로 연결됩니다.
또한, 세계 유일의 토종 한국에만 서식하는 종, 작은 말 껍데기, 조선인 주변에 살았던 말 껍데기에서 나타났다.
약 2,800만 년 전 말 반도
신생대 팔레. 그 이후로 말 조개류는
정착하면서 고유종으로 분화
신생대 초기 동아시아 각 지역에서
1200만년 전 시대.
의 지원을 받아 수행한 연구
환경부 낙동강
국립 생물 자원 연구소,
Scientific Reports에서 10월 6일에 발표되었습니다.
이 외에도 교수가 수행한 연구
환경과 김웅
경북대학교 공학과
사우디아라비아의 King Saud University는
유색의 98% 이상을 분해할 수 있는 광촉매
폐수에 염색. 연구 결과는
유해 물질 저널",14,"작은 말껍데기 보존 말갑각은 민물생물을 보존하는 데 매우 중요한 종입니다. 민물고기의 알을 보호하는 은신처 역할을 합니다.작은 말껍데기는 한국이 원산지이며 가치가 높습니다. 그들의 보존이 필요합니다. 경북대학교 생물학 교육과 황의욱 교수팀이 한반도 주변에서식하는 말껍데기가 중국 황하지역에서 유래했다는 사실을 새롭게 발견했다. 황 교수팀은 8개의 국내 수계 북한강, 남한강, 금강, 만경강, 영산강, 침진강, 섬진강, 낙동강에 서식하는 86개의 말껍 질과 83개의 작은 말껍질의 미토콘드리아 DNA 염기서열을 분석했다. 그리고 그들의 기원을 추적했습니다. 연구 결과 황 교수팀은 다음과 같이 예측했다.말조개류는 고대 황색에 널리 분포되어 있었습니다. 중국에서 한반도로 흐르는 하수도 약 1억6천만 년 전 한국의 서해가 존재하지 않았던 때 그리고 한반도의 동부와 서부는 하나의 대륙으로 연결됩니다. 또한, 세계 유일의 토종 한국에만 서식하는 종, 작은 말껍데기, 조선인 주변에 살았던 말껍데기에서 나타났다.약 2,800만년 전 말반도 신생대 팔레.그 이후로 말조개류는 정착하면서 고유종으로 분화 신생 대 초기 동아시아 각 지역에서 1200만년 전 시대.의 지원을 받아 수행한 연구환경부 낙동강 국립생물자원연구소, ScientificReports에서 10월 6일에 발표되었습니다. 이외에도 교수가 수행한 연구환경과 김웅경북대학교 공학과 사우디아라비아의 KingSaudU niversity는 유색의 98 이상을 분해할 수 있는 광촉매 폐수에 염색.연 구 결과는 유해물질 저널",2," 고대 황색에 널리 분포되어 있었습니다. 중국에서 한반도로 흐르는 하수도 약 1억6천만 년 전 한국의 서해가 존재하지 않았던 때 그리고 한반도의 동부와 서부는 하나의 대륙으로 연결됩니다. 또한, 세계 유일의 토종 한국에만 서식하는 종, 작은 말껍데기, 조선인 주변에 살았던 말껍데기에서 나타났다"
82,한국,Kyungpook,"작은 말 껍데기 보존 말 갑각은 민물 생물을 보존하는 데 매우 중요한 종입니다. 민물고기의 알을 보호하는 은신처 역할을 합니다. 작은 말 껍데기는 한국이 원산지이며 가치가 높습니다. 그들의 보존이 필요합니다. 경북대학교 생물학교육과 황의욱 교수팀이 한반도 주변에 서식하는 말 껍데기가 중국 황하 지역에서 유래했다는 사실을 새롭게 발견했다. 황 교수팀은 8개의 국내 수계(북한강, 남한강, 금강, 만경강, 영산강, 침진강, 섬진강, 낙동강)에 서식하는 86개의 말껍질과 83개의 작은 말껍질의 미토콘드리아 DNA 염기서열을 분석했다. 그리고 그들의 기원을 추적했습니다. 연구 결과 황 교수팀은 다음과 같이 예측했다.말 조개류는 고대 황색에 널리 분포되어 있었습니다.
중국에서 한반도로 흐르는 하수도 약 1억 6천만 년 전 한국의 서해가 존재하지 않았던 때 그리고 한반도의 동부와 서부는 하나의 대륙으로 연결됩니다.
또한, 세계 유일의 토종 한국에만 서식하는 종, 작은 말 껍데기, 조선인 주변에 살았던 말 껍데기에서 나타났다.
약 2,800만 년 전 말 반도
신생대 팔레. 그 이후로 말 조개류는
정착하면서 고유종으로 분화
신생대 초기 동아시아 각 지역에서
1200만년 전 시대.
의 지원을 받아 수행한 연구
환경부 낙동강
국립 생물 자원 연구소,
Scientific Reports에서 10월 6일에 발표되었습니다.
이 외에도 교수가 수행한 연구
환경과 김웅
경북대학교 공학과
사우디아라비아의 King Saud University는
유색의 98% 이상을 분해할 수 있는 광촉매
폐수에 염색. 연구 결과는
유해 물질 저널",14,"작은 말껍데기 보존 말갑각은 민물생물을 보존하는 데 매우 중요한 종입니다. 민물고기의 알을 보호하는 은신처 역할을 합니다.작은 말껍데기는 한국이 원산지이며 가치가 높습니다. 그들의 보존이 필요합니다. 경북대학교 생물학 교육과 황의욱 교수팀이 한반도 주변에서식하는 말껍데기가 중국 황하지역에서 유래했다는 사실을 새롭게 발견했다. 황 교수팀은 8개의 국내 수계 북한강, 남한강, 금강, 만경강, 영산강, 침진강, 섬진강, 낙동강에 서식하는 86개의 말껍 질과 83개의 작은 말껍질의 미토콘드리아 DNA 염기서열을 분석했다. 그리고 그들의 기원을 추적했습니다. 연구 결과 황 교수팀은 다음과 같이 예측했다.말조개류는 고대 황색에 널리 분포되어 있었습니다. 중국에서 한반도로 흐르는 하수도 약 1억6천만 년 전 한국의 서해가 존재하지 않았던 때 그리고 한반도의 동부와 서부는 하나의 대륙으로 연결됩니다. 또한, 세계 유일의 토종 한국에만 서식하는 종, 작은 말껍데기, 조선인 주변에 살았던 말껍데기에서 나타났다.약 2,800만년 전 말반도 신생대 팔레.그 이후로 말조개류는 정착하면서 고유종으로 분화 신생 대 초기 동아시아 각 지역에서 1200만년 전 시대.의 지원을 받아 수행한 연구환경부 낙동강 국립생물자원연구소, ScientificReports에서 10월 6일에 발표되었습니다. 이외에도 교수가 수행한 연구환경과 김웅경북대학교 공학과 사우디아라비아의 KingSaudU niversity는 유색의 98 이상을 분해할 수 있는 광촉매 폐수에 염색.연 구 결과는 유해물질 저널",2," 고대 황색에 널리 분포되어 있었습니다. 중국에서 한반도로 흐르는 하수도 약 1억6천만 년 전 한국의 서해가 존재하지 않았던 때 그리고 한반도의 동부와 서부는 하나의 대륙으로 연결됩니다. 또한, 세계 유일의 토종 한국에만 서식하는 종, 작은 말껍데기, 조선인 주변에 살았던 말껍데기에서 나타났다"
19,한국,Ajou,"아주대학교 중앙도서관이 온/오프라인 북 큐레이션으로 기후변화 테마 도서를 선정하여 제공하였다. 해당 북 큐레이션은 폭염과 한파, 잦은 태풍, 산불 등 기후 위기의 시대 속에 탄소중립, 기후변화, 제로웨이스트, 플라스틱 저감 등 기후변화 관련 도서를 읽고 건강한 지구를 만들어 가는 한 걸음을 함께 내디뎌 보자는 취지에서 진행되었다. 이에 추천 도서로 , , , , , , , , , 를 선정하여 학생들의 관심을 끌었다.",13,"아주대학교 중앙도서관이온오프라인 북큐레이션으로 기후변화 테마도서를 선정하여 제공하였다. 해당 북큐레이션은 폭염과 한파, 잦은 태풍, 산불 등 기후위기의 시대 속에 탄소중립, 기후변화, 제로웨이스트, 플라스틱 저감 등 기후변화 관련 도서를 읽고 건강한 지구를 만들어가는 한 걸음을 함께 내디뎌 보자는 취지에서 진행되었다.이에 추천도서로,,,,,,,,, 를 선정하여 학생들의 관심을 끌었다.",2," 추천도서로,,,,,,,,, 를 선정하여 학생들의 관심을 끌었다."
90,한국,Kyungpook,전 세계의 연간 염료 생산량은 약 100만 톤으로 막대한 양의 유색 폐수를 발생시킵니다. 김웅 경북대 환경공학부 교수는 사우디 킹사우드대 등 국제공동연구를 통해 1시간 이내에 착색된 폐수를 98% 이상 분해할 수 있는 광촉매를 개발했다. 책임 있는 소비와 생산 지구 환경을 위협하는 폐수를 처리할 수 있는 촉매 기술의 개발은 매우 고무적입니다. 촉매는 유기염료 뿐만 아니라 폐수 내 유기물에도 적용될 것으로 기대된다. - 경북대학교 환경공학과 교수 책임소비 및 생산 이 광촉매는 이황화몰리브덴이 도핑된 철-유기 하이브리드 복합재료입니다. 이중 광촉매 기술이라는 지속 가능한 기술을 구동하여 자외선과 가시광선 조건 모두에서 기능할 수 있다는 점에서 특별합니다. 연구 결과는 Journal of Hazardous Materials에 게재되었습니다.,12,전 세계의 연간 염료 생산량은 약 100만톤으로 막대한 양의 유색 폐수를 발생 시킵니다. 김웅 경북대 환경공학부 교수는 사우디 킹 사우드대 등 국제공동연구를 통해 1시간 이내에 착색된 폐수를 98 이상 분해할 수 있는 광촉매를 개발했다. 책임 있는 소비와 생산지구 환경을 위협하는 폐수를 처리할 수 있는 촉매기술의 개발은 매우 고무적입니다. 촉매는 유기염료뿐만 아니라 폐수 내 유기물에도 적용될 것으로 기대된다. 경북대학교 환경공학과 교수 책임 소비 및 생산이 광촉매는  이황화 몰리브덴이 도핑된 철유기하이브리드 복합재료입니다.이 중 광촉매 기술이라는 지속가능한 기술을 구동하여 자외선과 가시광선 조건 모두에서 기능할 수 있다는 점에서 특별합니다. 연구 결과는 Jou rnalofHaz ardousMaterials에 게재되었습니다.,2, 중 광촉매 기술이라는 지속가능한 기술을 구동하여 자외선과 가시광선 조건 모두에서 기능할 수 있다는 점에서 특별합니다. 연구 결과는 Jou rnalofHaz ardousMaterials에 게재되었습니다.
78,한국,Kyungpook,전 세계의 연간 염료 생산량은 약 100만 톤으로 막대한 양의 유색 폐수를 발생시킵니다. 김웅 경북대 환경공학부 교수는 사우디 킹사우드대 등 국제공동연구를 통해 1시간 이내에 착색된 폐수를 98% 이상 분해할 수 있는 광촉매를 개발했다. 책임 있는 소비와 생산 지구 환경을 위협하는 폐수를 처리할 수 있는 촉매 기술의 개발은 매우 고무적입니다. 촉매는 유기염료 뿐만 아니라 폐수 내 유기물에도 적용될 것으로 기대된다. - 경북대학교 환경공학과 교수 책임소비 및 생산 이 광촉매는 이황화몰리브덴이 도핑된 철-유기 하이브리드 복합재료입니다. 이중 광촉매 기술이라는 지속 가능한 기술을 구동하여 자외선과 가시광선 조건 모두에서 기능할 수 있다는 점에서 특별합니다. 연구 결과는 Journal of Hazardous Materials에 게재되었습니다.,12,전 세계의 연간 염료 생산량은 약 100만톤으로 막대한 양의 유색 폐수를 발생 시킵니다. 김웅 경북대 환경공학부 교수는 사우디 킹 사우드대 등 국제공동연구를 통해 1시간 이내에 착색된 폐수를 98 이상 분해할 수 있는 광촉매를 개발했다. 책임 있는 소비와 생산지구 환경을 위협하는 폐수를 처리할 수 있는 촉매기술의 개발은 매우 고무적입니다. 촉매는 유기염료뿐만 아니라 폐수 내 유기물에도 적용될 것으로 기대된다. 경북대학교 환경공학과 교수 책임 소비 및 생산이 광촉매는  이황화 몰리브덴이 도핑된 철유기하이브리드 복합재료입니다.이 중 광촉매 기술이라는 지속가능한 기술을 구동하여 자외선과 가시광선 조건 모두에서 기능할 수 있다는 점에서 특별합니다. 연구 결과는 Jou rnalofHaz ardousMaterials에 게재되었습니다.,2, 중 광촉매 기술이라는 지속가능한 기술을 구동하여 자외선과 가시광선 조건 모두에서 기능할 수 있다는 점에서 특별합니다. 연구 결과는 Jou rnalofHaz ardousMaterials에 게재되었습니다.
54,한국,Kangwon,"산, 강, 섬에 서식하는 동식물의 생태계 조사 및 모니터링",14,"산, 강, 섬에서식하는 동식물의 생태계 조사 및 모니터링",2,"산, 강, 섬에서식하는 동식물의 생태계 조사 및 모니터링"
27,한국,Kangwon,"절수식 소변기 설치로 지속적, 의식적 물 절약 실천",6,"절수식소변기 설치로 지속적, 의식적 물 절약 실천",2,"절수식소변기 설치로 지속적, 의식적 물 절약 실천"
64,한국,Kangwon,동물자원공동연구소 운영. 전염병 질병 및 대책 마련 연구 수행,15,동물자원 공동연구소 운영.전염병질병 및 대책 마련 연구수행,2, 및 대책 마련 연구수행
43,한국,Kangwon,재난안전 문제해결 기술개발 지원 사업＇ 주관 연구기관 선정. 도시산불방재 기술개발에 관한 연구과제 수행,13,재난안전 문제 해결기술 개발 지원사업 주관 연구기관 선정. 도 시 산불방재기술개발에 관한 연구과제 수행,2,재난안전 문제 해결기술 개발 지원사업 주관 연구기관 선정. 도 시 산불방재기술개발에 관한 연구과제 수행
76,한국,Kyungpook,연구팀이 나프록센을 분해할 수 있는 첨단 수처리 시스템을 개발했다. 기존의 고급 산화 공정은 높은 처리 비용과 에너지가 필요하며 나프록센과 같은 잔류 약물의 불완전한 방출로 인해 종종 낮은 효율로 토양 및 수계에 남아 있습니다. 박창민 경북대 환경공학과 교수와 윤여민 사우스캐롤라이나대 교수는 1시간 안에 나프록센을 99.9% 분해할 수 있는 기술을 개발했다.,6,연구팀이나 프록센을 분해할 수 있는 첨단 수처리시스템을 개발했다. 기존의 고급 산화공정은 높은 처리비용과 에너지가 필요하며 나프록센과 같은 잔류약물의 불완전한 방출로 인해 종종 낮은 효율로 토양 및 수계에 남아있습니다. 박창민 경북대 환경공학과 교수와 윤여민 사우스캐롤라이나대 교수는 1시간 안에 나프록센을 99.9분해할 수 있는 기술을 개발했다.,2, 수 있는 기술을 개발했다.
88,한국,Kyungpook,연구팀이 나프록센을 분해할 수 있는 첨단 수처리 시스템을 개발했다. 기존의 고급 산화 공정은 높은 처리 비용과 에너지가 필요하며 나프록센과 같은 잔류 약물의 불완전한 방출로 인해 종종 낮은 효율로 토양 및 수계에 남아 있습니다. 박창민 경북대 환경공학과 교수와 윤여민 사우스캐롤라이나대 교수는 1시간 안에 나프록센을 99.9% 분해할 수 있는 기술을 개발했다.,6,연구팀이나 프록센을 분해할 수 있는 첨단 수처리시스템을 개발했다. 기존의 고급 산화공정은 높은 처리비용과 에너지가 필요하며 나프록센과 같은 잔류약물의 불완전한 방출로 인해 종종 낮은 효율로 토양 및 수계에 남아있습니다. 박창민 경북대 환경공학과 교수와 윤여민 사우스캐롤라이나대 교수는 1시간 안에 나프록센을 99.9분해할 수 있는 기술을 개발했다.,2, 수 있는 기술을 개발했다.
7,한국,Seoul,"신재생 에너지 사용 확대 계획
∙관악캠퍼스 약 35개 건물에 태양광, 태양열, 지열 등의 신재생 에너지 설비를 보유하고 있습니다. 2020년부터 법률에 의거하여 신축되는 건물 에너지 수요의 30%까지 신재생 에너지를 설치할 예정이며, 향후 태양광 중심의 신재생 에너지 보급을 확대할 계획입니다.",13,"신재생에너지 사용 확대 계획 관악캠퍼스 약 35개 건물에 태양광, 태양열, 지열 등의 신재생에너지 설비를 보유하고 있습니다.2020년부터 법률에 의거하여 신축되는 건물 에너지 수요의 30까지 신재생에너지를 설치할 예정이며, 향후 태양광 중심의 신재생에너지 보급을 확대할 계획입니다.",2," 법률에 의거하여 신축되는 건물 에너지 수요의 30까지 신재생에너지를 설치할 예정이며, 향후 태양광 중심의 신재생에너지 보급을 확대할 계획입니다."
12,한국,Seoul,"지역사회 기후변화/SDGs 교육 제공
∙ 관악시민환경대학은 서울대학교와 관악구의 협력으로 지
역주민들에게 양질의 환경교육 서비스를 제공하며, 환
경대학원 교수들과 환경전문가들이 환경문제의 원인과
대응방안을 강의합니다. 환경 전반의 이슈를 서울대학
교 환경대학원 교수들이 지역 주민에게 총 12차례 강
연하는 프로그램입니다.",13,"지역사회 기후변화SDGs 교육 제공 관악시민환경대학은 서울대학교와 관악구의 협력으로 지역주민들에게 양질의 환경교육 서비스를 제공하며, 환경대학원 교수들과 환경전문가들이 환경문제의 원인과 대응방안을 강의합니다. 환경 전반의 이슈를 서울대학교 환경대학원 교수들이 지역주민에게 총 12차례 강연하는 프로그램입니다.",2,"지역사회 기후변화SDGs 교육 제공 관악시민환경대학은 서울대학교와 관악구의 협력으로 지역주민들에게 양질의 환경교육 서비스를 제공하며, 환경대학원 교수들과 환경전문가들이 환경문제의 원인과 대응방안을 강의합니다. 환경 전반의 이슈를 서울대학교 환경대학원 교수들이 지역주민에게 총 12차례 강연하는 프로그램입니다."
